Sex,Agemos,L,M,S
1,67,-0.2653,19.5765,0.13213
1,68,-0.2758,19.7607,0.13246
1,69,-0.2864,19.9468,0.13279
1,70,-0.2969,20.1344,0.13311
1,71,-0.3075,20.3235,0.13342
1,72,-0.318,20.5137,0.13372
1,73,-0.3285,20.7052,0.13402
1,74,-0.339,20.8979,0.13432
1,75,-0.3494,21.0918,0.13462
1,76,-0.3598,21.287,0.13493
1,77,-0.3701,21.4833,0.13523
1,78,-0.3804,21.681,0.13554
1,79,-0.3906,21.8799,0.13586
1,80,-0.4007,22.08,0.13618
1,81,-0.4107,22.2813,0.13652
1,82,-0.4207,22.4837,0.13686
1,83,-0.4305,22.6872,0.13722
1,84,-0.4402,22.8915,0.13759
1,85,-0.4499,23.0968,0.13797
1,86,-0.4594,23.3029,0.13838
1,87,-0.4688,23.5101,0.1388
1,88,-0.4781,23.7182,0.13923
1,89,-0.4873,23.9272,0.13969
1,90,-0.4964,24.1371,0.14016
1,91,-0.5053,24.3479,0.14065
1,92,-0.5142,24.5595,0.14117
1,93,-0.5229,24.7722,0.1417
1,94,-0.5315,24.9858,0.14226
1,95,-0.5399,25.2005,0.14284
1,96,-0.5482,25.4163,0.14344
1,97,-0.5564,25.6332,0.14407
1,98,-0.5644,25.8513,0.14472
1,99,-0.5722,26.0706,0.14539
1,100,-0.5799,26.2911,0.14608
1,101,-0.5873,26.5128,0.14679
1,102,-0.5946,26.7358,0.14752
1,103,-0.6017,26.9602,0.14828
1,104,-0.6085,27.1861,0.14905
1,105,-0.6152,27.4137,0.14984
1,106,-0.6216,27.6432,0.15066
1,107,-0.6278,27.875,0.15149
1,108,-0.6337,28.1092,0.15233
1,109,-0.6393,28.3459,0.15319
1,110,-0.6446,28.5854,0.15406
1,111,-0.6496,28.8277,0.15493
1,112,-0.6543,29.0731,0.15581
1,113,-0.6585,29.3217,0.1567
1,114,-0.6624,29.5736,0.1576
1,115,-0.6659,29.8289,0.1585
1,116,-0.6689,30.0877,0.1594
1,117,-0.6714,30.3501,0.16031
1,118,-0.6735,30.616,0.16122
1,119,-0.6752,30.8854,0.16213
1,120,-0.6764,31.1586,0.16305
2,0,0.3809,3.2322,0.14171
2,1,0.1714,4.1873,0.13724
2,2,0.0962,5.1282,0.13
2,3,0.0402,5.8458,0.12619
2,4,-0.005,6.4237,0.12402
2,5,-0.043,6.8985,0.12274
2,6,-0.0756,7.297,0.12204
2,7,-0.1039,7.6422,0.12178
2,8,-0.1288,7.9487,0.12181
2,9,-0.1507,8.2254,0.12199
2,10,-0.17,8.48,0.12223
2,11,-0.1872,8.7192,0.12247
2,12,-0.2024,8.9481,0.12268
2,13,-0.2158,9.1699,0.12283
2,14,-0.2278,9.387,0.12294
2,15,-0.2384,9.6008,0.12299
2,16,-0.2478,9.8124,0.12303
2,17,-0.2562,10.0226,0.12306
2,18,-0.2637,10.2315,0.12309
2,19,-0.2703,10.4393,0.12315
2,20,-0.2762,10.6464,0.12323
2,21,-0.2815,10.8534,0.12335
2,22,-0.2862,11.0608,0.1235
2,23,-0.2903,11.2688,0.12369
2,24,-0.2941,11.4775,0.1239
2,25,-0.2975,11.6864,0.12414
2,26,-0.3005,11.8947,0.12441
2,27,-0.3032,12.1015,0.12472
2,28,-0.3057,12.3059,0.12506
2,29,-0.308,12.5073,0.12545
2,30,-0.3101,12.7055,0.12587
2,31,-0.312,12.9006,0.12633
2,32,-0.3138,13.093,0.12683
2,33,-0.3155,13.2837,0.12737
2,34,-0.3171,13.4731,0.12794
2,35,-0.3186,13.6618,0.12855
2,36,-0.3201,13.8503,0.12919
2,37,-0.3216,14.0385,0.12988
2,38,-0.323,14.2265,0.13059
2,39,-0.3243,14.414,0.13135
2,40,-0.3257,14.601,0.13213
2,41,-0.327,14.7873,0.13293
2,42,-0.3283,14.9727,0.13376
2,43,-0.3296,15.1573,0.1346
2,44,-0.3309,15.341,0.13545
2,45,-0.3322,15.524,0.1363
2,46,-0.3335,15.7064,0.13716
2,47,-0.3348,15.8882,0.138
2,48,-0.3361,16.0697,0.13884
2,49,-0.3374,16.2511,0.13968
2,50,-0.3387,16.4322,0.14051
2,51,-0.34,16.6133,0.14132
2,52,-0.3414,16.7942,0.14213
2,53,-0.3427,16.9748,0.14293
2,54,-0.344,17.1551,0.14371
2,55,-0.3453,17.3347,0.14448
2,56,-0.3466,17.5136,0.14525
2,57,-0.3479,17.6916,0.146
2,58,-0.3492,17.8686,0.14675
2,59,-0.3505,18.0445,0.14748
2,60,-0.3518,18.2193,0.14821
2,61,-0.4681,18.2579,0.14295
2,62,-0.4711,18.4329,0.1435
2,63,-0.4742,18.6073,0.14404
2,64,-0.4773,18.7811,0.14459
2,65,-0.4803,18.9545,0.14514
2,66,-0.4834,19.1276,0.14569
2,67,-0.4864,19.3004,0.14624
2,68,-0.4894,19.473,0.14679
2,69,-0.4924,19.6455,0.14735
2,70,-0.4954,19.818,0.1479
2,71,-0.4984,19.9908,0.14845
2,72,-0.5013,20.1639,0.149
2,73,-0.5043,20.3377,0.14955
2,74,-0.5072,20.5124,0.1501
2,75,-0.51,20.6885,0.15065
2,76,-0.5129,20.8661,0.1512
2,77,-0.5157,21.0457,0.15175
2,78,-0.5185,21.2274,0.1523
2,79,-0.5213,21.4113,0.15284
2,80,-0.524,21.5979,0.15339
2,81,-0.5268,21.7872,0.15393
2,82,-0.5294,21.9795,0.15448
2,83,-0.5321,22.1751,0.15502
2,84,-0.5347,22.374,0.15556
2,85,-0.5372,22.5762,0.1561
2,86,-0.5398,22.7816,0.15663
2,87,-0.5423,22.9904,0.15717
2,88,-0.5447,23.2025,0.1577
2,89,-0.5471,23.418,0.15823
2,90,-0.5495,23.6369,0.15876
2,91,-0.5518,23.8593,0.15928
2,92,-0.5541,24.0853,0.1598
2,93,-0.5563,24.3149,0.16032
2,94,-0.5585,24.5482,0.16084
2,95,-0.5606,24.7853,0.16135
2,96,-0.5627,25.0262,0.16186
2,97,-0.5647,25.271,0.16237
2,98,-0.5667,25.5197,0.16287
2,99,-0.5686,25.7721,0.16337
2,100,-0.5704,26.0284,0.16386
2,101,-0.5722,26.2883,0.16435
2,102,-0.574,26.5519,0.16483
2,103,-0.5757,26.819,0.16532
2,104,-0.5773,27.0896,0.16579
2,105,-0.5789,27.3635,0.16626
2,106,-0.5804,27.6406,0.16673
2,107,-0.5819,27.9208,0.16719
2,108,-0.5833,28.204,0.16764
2,109,-0.5847,28.4901,0.16809
2,110,-0.5859,28.7791,0.16854
2,111,-0.5872,29.0711,0.16897
2,112,-0.5883,29.3663,0.16941
2,113,-0.5895,29.6646,0.16983
2,114,-0.5905,29.9663,0.17025
2,115,-0.5915,30.2715,0.17066
2,116,-0.5925,30.5805,0.17107
2,117,-0.5934,30.8934,0.17146
2,118,-0.5942,31.2105,0.17186
2,119,-0.595,31.5319,0.17224
2,120,-0.5958,31.8578,0.17262
